Warehouse_block,Mode_of_Shipment,Product_importance,Weight_in_gms,Cost_of_the_Product,Discount_offered,Reached.on.Time_Y.N
B,Flight,low,5265,173,4,1
C,Flight,low,4130,257,5,1
F,Flight,low,5653,223,9,0
D,Flight,low,5174,194,3,0
F,Flight,low,5675,281,10,0
A,Flight,medium,5711,236,1,0
B,Flight,low,4795,165,6,1
C,Flight,low,4222,200,8,0
F,Flight,low,4541,168,2,1
D,Flight,medium,5209,266,5,0
F,Flight,medium,5576,226,1,0
A,Flight,medium,5612,143,5,1
B,Flight,low,5602,116,2,1
C,Flight,high,4446,139,9,1
F,Flight,medium,4700,248,2,0
D,Flight,low,5834,135,5,0
F,Flight,medium,4106,265,9,0
A,Flight,medium,4995,175,2,1
B,Flight,medium,4435,256,1,1
C,Flight,medium,5925,217,3,0
F,Flight,medium,4443,203,8,0
D,Ship,high,5513,145,5,0
F,Ship,low,4215,268,9,0
A,Ship,medium,4437,206,10,0
B,Ship,medium,4198,215,10,1
C,Ship,medium,4382,177,5,0
F,Ship,low,5538,183,3,0
D,Ship,medium,4618,227,6,0
F,Ship,medium,5057,209,1,0
A,Ship,low,5090,193,5,1
B,Ship,low,4380,144,5,1
C,Ship,low,4130,192,3,1
F,Ship,low,5725,247,5,0
D,Ship,medium,5207,199,6,0
F,Ship,medium,5756,273,10,1
A,Ship,low,4662,232,4,1
B,Ship,low,5319,214,6,0
C,Ship,low,5086,156,10,0
F,Ship,medium,5108,200,5,0
D,Ship,medium,4741,196,9,1
F,Ship,medium,5830,189,7,1
A,Ship,low,4030,266,3,0
B,Ship,medium,5725,198,2,1
C,Ship,low,4978,144,2,0
F,Ship,medium,5891,217,6,1
D,Ship,medium,4541,169,4,0
F,Ship,medium,4608,153,1,0
A,Ship,medium,5324,152,5,0
B,Ship,medium,4627,245,4,0
C,Ship,low,5277,237,2,0
F,Ship,low,5516,266,8,0
D,Ship,medium,4458,216,1,1
F,Ship,medium,5501,186,4,1
A,Ship,medium,5192,280,4,0
B,Ship,medium,4869,229,1,0
C,Ship,low,5529,225,3,0
F,Ship,low,4357,149,7,0
D,Ship,low,4401,200,6,1
F,Ship,low,5815,246,1,1
A,Ship,low,4742,150,1,0
B,Ship,medium,5797,175,9,0
C,Ship,medium,5775,141,10,0
F,Ship,medium,4111,102,9,0
D,Ship,low,4367,209,8,0
F,Ship,medium,5282,287,6,0
A,Ship,low,5761,212,3,1
B,Ship,high,5407,205,1,0
C,Ship,high,4200,180,10,0
F,Ship,low,5660,229,1,0
D,Ship,high,4112,182,6,1
F,Ship,medium,4789,183,4,0
A,Ship,medium,5759,212,10,0
B,Ship,medium,4689,235,2,0
C,Ship,medium,5081,210,9,1
F,Ship,medium,4424,111,7,0
D,Ship,medium,5149,270,7,0
F,Ship,low,4684,135,4,0
A,Ship,low,5021,143,10,0
B,Ship,low,5059,216,5,0
C,Ship,low,5308,136,10,0
F,Ship,low,5696,145,10,0
D,Ship,medium,5116,142,4,1
F,Ship,medium,4874,175,7,1
A,Ship,low,5329,183,5,1
B,Ship,medium,4956,191,2,1
C,Ship,low,4157,247,9,0
F,Ship,low,5662,170,2,1
D,Ship,low,5393,275,5,1
F,Ship,low,5882,147,8,0
A,Ship,low,4174,188,6,1
B,Ship,low,5587,248,4,0
C,Ship,low,4594,245,8,1
F,Ship,high,4454,164,3,0
D,Ship,medium,4661,260,3,1
F,Ship,medium,4605,149,9,0
A,Ship,low,4132,174,3,0
B,Ship,low,5682,242,1,1
C,Ship,medium,4933,134,7,1
F,Ship,medium,5193,189,3,0
D,Ship,high,5216,263,7,1
F,Ship,high,5858,280,8,1
A,Ship,medium,4538,258,3,1
B,Ship,high,5242,179,1,1
C,Ship,medium,5306,250,10,1
F,Ship,medium,4774,212,5,1
D,Ship,low,4257,236,4,1
F,Ship,high,5023,239,6,1
A,Ship,low,1276,305,3,0
B,Ship,low,1712,309,5,0
C,Ship,medium,1983,266,8,1
F,Ship,low,1495,233,6,0
D,Ship,low,1509,287,4,1
F,Ship,low,1274,268,7,0
A,Ship,medium,1366,290,10,0
B,Road,high,1135,291,6,0
C,Road,medium,1687,227,3,0
F,Road,medium,4194,175,5,0
D,Road,low,5015,183,6,0
F,Road,medium,4243,191,4,1
A,Road,low,5749,247,10,1
B,Road,low,4214,170,2,1
C,Road,low,4619,275,7,0
F,Road,low,4865,147,7,0
D,Road,low,4632,188,4,0
F,Road,low,5281,248,6,0
A,Road,low,4719,245,4,1
B,Road,high,4657,164,7,0
C,Road,medium,5886,260,9,1
F,Road,medium,5460,149,8,1
D,Road,low,4318,174,7,1
F,Road,low,5825,242,2,0
A,Road,medium,5423,134,4,0
B,Road,medium,4410,189,4,0
C,Road,high,5991,263,9,1
F,Road,high,5273,280,2,0
D,Road,medium,5069,258,8,0
F,Flight,high,4129,179,5,0
A,Flight,medium,4531,250,4,0
B,Flight,medium,5864,212,7,0
C,Flight,low,4347,236,10,1
F,Flight,high,4192,239,4,0
D,Flight,low,1172,305,7,1
F,Flight,low,1866,309,6,1
A,Flight,medium,1862,266,2,1
B,Flight,low,1861,233,7,0
C,Flight,low,1579,287,4,0
F,Flight,low,1324,268,2,0
D,Flight,medium,1505,290,6,1
F,Flight,medium,1913,244,10,1
A,Flight,low,1158,245,2,1
B,Flight,low,1867,219,5,0
C,Flight,low,1358,257,4,1
F,Flight,low,1783,250,2,1
D,Flight,medium,1189,249,2,1
F,Flight,low,1627,259,2,1
A,Flight,low,1503,266,3,1
B,Flight,medium,1648,244,4,1
C,Flight,low,1934,239,7,0
F,Ship,low,1520,270,6,0
D,Ship,low,1199,270,10,1
F,Ship,medium,1957,257,1,1
A,Ship,medium,1633,243,4,1
B,Ship,medium,1659,264,10,1
C,Ship,low,1049,224,6,1
F,Ship,low,1755,304,8,1
D,Ship,medium,1922,243,8,0
F,Ship,low,1355,272,5,1
A,Ship,low,1537,269,4,1
B,Ship,low,1384,267,7,0
C,Ship,low,1679,251,2,0
F,Ship,low,1012,249,3,1
D,Ship,low,1550,284,6,1
F,Ship,medium,1880,254,3,1
A,Ship,low,1264,269,5,1
B,Ship,low,1393,265,9,0
C,Ship,medium,1830,220,6,1
F,Ship,medium,1503,217,4,0
D,Ship,medium,1017,285,2,1
F,Ship,medium,1514,265,3,1
A,Ship,medium,1200,240,1,0
B,Ship,low,5226,247,1,0
C,Ship,medium,4615,179,8,1
F,Ship,medium,5425,142,9,1
D,Ship,high,4145,207,6,0
F,Ship,medium,5849,183,7,1
A,Ship,medium,5544,167,2,0
B,Ship,low,5208,175,2,0
C,Ship,low,5881,183,8,1
F,Ship,low,5307,176,10,0
D,Ship,low,5417,187,7,0
F,Ship,medium,4142,143,8,1
A,Ship,low,5976,136,7,0
B,Ship,low,5396,178,3,1
C,Ship,medium,4983,208,6,1
F,Ship,medium,5635,171,1,0
D,Ship,low,4614,197,5,0
F,Ship,low,5814,179,7,0
A,Ship,medium,5889,197,4,1
B,Ship,low,4505,285,2,1
C,Ship,low,5113,141,9,0
F,Ship,medium,4773,274,5,0
D,Ship,medium,4903,287,3,1
F,Ship,medium,4198,218,4,1
A,Ship,high,5535,213,6,0
B,Ship,low,5742,207,1,0
C,Ship,low,4064,273,7,1
F,Ship,low,5995,185,6,1
D,Ship,low,5179,192,4,0
F,Ship,medium,4306,276,3,1
A,Ship,medium,5724,229,1,0
B,Ship,high,5287,248,3,1
C,Ship,high,5204,267,2,1
F,Ship,low,5458,272,9,0
D,Ship,low,5487,153,8,0
F,Ship,medium,5056,246,7,1
A,Ship,low,4529,261,9,1
B,Ship,low,5270,207,3,1
C,Ship,medium,4634,133,8,0
F,Ship,low,5932,269,6,1
D,Ship,high,5986,251,8,1
F,Ship,low,4956,252,3,1
A,Ship,low,5275,135,4,1
B,Ship,medium,4585,273,1,0
C,Ship,low,4653,168,3,1
F,Ship,medium,4758,233,6,0
D,Ship,low,4677,133,3,1
F,Ship,high,5164,147,10,1
A,Ship,low,5633,249,8,0
B,Ship,low,4117,259,3,1
C,Ship,low,5171,194,10,1
F,Ship,medium,4881,134,7,1
D,Ship,low,4432,98,5,0
F,Ship,low,5612,138,10,1
A,Ship,high,5087,193,4,1
B,Ship,medium,4742,184,7,0
C,Ship,medium,5098,172,7,0
F,Ship,medium,4701,248,2,1
D,Ship,high,5334,114,5,1
F,Ship,high,4657,201,2,0
A,Ship,medium,4372,206,2,0
B,Ship,high,5254,185,10,1
C,Ship,high,4972,272,5,0
F,Ship,medium,4286,266,6,1
D,Ship,low,5735,203,9,0
F,Ship,low,4823,218,2,1
A,Ship,low,4632,279,8,0
B,Ship,low,4648,159,4,1
C,Ship,low,5687,138,5,1
F,Ship,low,5896,224,7,0
D,Ship,low,4309,269,4,0
F,Ship,medium,5231,121,4,1
A,Road,low,4522,134,2,0
B,Road,medium,5344,259,4,1
C,Road,high,4093,206,8,1
F,Road,low,5701,209,6,1
D,Road,medium,5709,145,1,0
F,Road,medium,5717,164,8,0
A,Road,medium,5464,133,6,1
B,Road,low,5686,178,5,0
C,Road,low,4200,175,3,0
F,Road,medium,4898,242,8,0
D,Road,low,4575,202,8,1
F,Road,low,5149,176,6,1
A,Road,low,5274,203,1,0
B,Road,low,5008,207,5,1
C,Road,medium,4927,268,1,0
F,Road,low,5109,244,6,0
D,Road,low,4693,134,10,0
F,Road,low,4392,143,1,1
A,Road,low,5556,246,2,1
B,Road,low,5228,157,7,0
C,Road,low,5147,169,10,0
F,Road,low,4449,231,6,1
D,Flight,medium,5043,262,1,0
F,Flight,medium,4290,227,10,0
A,Flight,medium,5477,162,7,1
B,Flight,medium,4812,148,4,0
C,Flight,medium,4837,138,8,0
F,Flight,medium,4824,255,3,0
D,Flight,low,5841,218,2,0
F,Flight,low,4091,260,2,1
A,Flight,low,5502,142,5,1
B,Flight,medium,4180,257,5,0
C,Flight,low,4176,252,1,0
F,Flight,low,4122,151,1,0
D,Flight,low,4736,190,8,0
F,Flight,low,4068,137,7,0
A,Flight,low,5456,164,7,0
B,Flight,low,5328,271,9,0
C,Flight,high,4573,162,1,1
F,Flight,medium,4034,221,4,1
D,Flight,low,4559,202,3,1
F,Flight,low,5836,143,1,0
A,Flight,low,4703,254,6,0
B,Flight,medium,4984,96,1,1
C,Ship,medium,4847,199,10,1
F,Ship,low,5182,198,5,0
D,Ship,low,5198,257,2,1
F,Ship,medium,4310,149,9,0
A,Ship,medium,5280,193,10,0
B,Ship,low,5619,284,10,0
C,Ship,medium,5264,205,5,0
F,Ship,low,4520,185,5,1
D,Ship,high,4955,268,10,0
F,Ship,medium,4339,252,2,0
A,Ship,low,5656,196,5,0
B,Ship,low,4654,149,6,0
C,Ship,medium,4669,154,3,0
F,Ship,medium,4053,267,4,0
D,Ship,medium,5661,208,5,0
F,Ship,medium,4287,275,9,1
A,Ship,low,5939,272,1,1
B,Ship,low,4074,280,9,1
C,Ship,low,4930,202,5,0
F,Ship,medium,4581,184,8,0
D,Ship,medium,5515,244,7,0
F,Ship,low,5401,138,10,0
A,Ship,medium,5407,109,4,0
B,Ship,low,5292,189,3,0
C,Ship,low,4069,170,9,0
F,Ship,medium,4598,183,10,0
D,Ship,high,4429,263,3,0
F,Ship,low,5853,271,9,1
A,Ship,medium,4496,202,3,1
B,Ship,medium,5070,265,8,0
C,Ship,medium,4472,220,6,0
F,Ship,low,4873,274,7,1
D,Ship,medium,4552,212,10,0
F,Ship,high,5559,244,1,1
A,Ship,medium,5017,252,4,0
B,Ship,low,4743,158,8,0
C,Ship,medium,5490,286,5,0
F,Ship,high,4639,164,10,1
D,Ship,medium,4998,170,6,0
F,Ship,medium,4930,269,8,0
A,Ship,low,4002,238,2,0
B,Ship,medium,5315,198,1,0
C,Ship,low,5235,184,7,1
F,Ship,low,4347,265,10,1
D,Ship,medium,4534,204,10,0
F,Ship,medium,5759,233,5,1
A,Ship,low,5694,134,8,0
B,Ship,medium,5474,153,9,0
C,Ship,medium,4253,241,3,1
F,Ship,low,5022,187,7,1
D,Ship,low,5622,148,8,0
F,Ship,medium,5439,133,10,1
A,Ship,low,1623,250,10,1
B,Ship,medium,1326,249,2,1
C,Ship,low,1678,259,8,0
F,Ship,low,1639,266,5,1
D,Ship,medium,1185,244,6,0
F,Ship,low,1879,239,2,0
A,Ship,low,1187,270,1,1
B,Ship,low,1079,270,7,0
C,Ship,medium,1513,257,1,0
F,Ship,medium,1634,243,3,1
D,Ship,low,5078,271,6,0
F,Ship,medium,4249,202,6,0
A,Ship,medium,5986,265,3,1
B,Ship,medium,5159,220,1,1
C,Ship,low,4762,274,1,0
F,Ship,medium,4969,212,4,0
D,Ship,high,4103,244,3,0
F,Ship,medium,5782,252,4,0
A,Ship,low,5736,158,4,1
B,Ship,medium,4497,286,3,1
C,Ship,high,5170,164,8,0
F,Ship,medium,4891,170,10,0
D,Ship,medium,4158,269,2,0
F,Ship,low,5808,238,7,1
A,Ship,medium,4249,198,9,1
B,Ship,low,4686,184,4,0
C,Ship,low,5447,265,8,1
F,Ship,medium,5375,204,5,0
D,Ship,medium,5519,233,8,1
F,Ship,low,4214,134,9,1
A,Ship,medium,4056,153,6,0
B,Ship,medium,5697,241,5,1
C,Ship,low,4893,187,8,0
F,Ship,low,5267,148,8,1
D,Ship,medium,5002,133,8,1
F,Ship,low,1018,250,4,0
A,Ship,medium,1710,249,3,1
B,Ship,low,1730,259,2,0
C,Ship,low,1220,266,9,0
F,Ship,medium,1108,244,5,1
D,Ship,low,1451,239,4,0
F,Road,low,1786,270,3,1
A,Road,low,1580,282,6,0
B,Road,medium,1981,295,2,0
C,Road,low,1253,255,5,1
F,Road,low,1826,292,3,1
D,Road,low,1317,244,1,1
F,Road,low,1210,306,1,0
A,Road,low,1506,258,3,0
B,Road,low,1391,265,8,1
C,Road,low,1620,227,7,1
F,Road,low,1560,276,8,1
D,Road,medium,1795,244,7,0
F,Road,medium,1552,217,6,0
A,Road,low,1172,211,8,0
B,Road,low,1354,227,7,1
C,Road,medium,1014,249,1,1
F,Road,low,1006,269,3,0
D,Road,medium,1140,278,6,0
F,Road,medium,1385,282,3,0
A,Road,medium,1607,300,7,0
B,Road,low,1624,259,9,0
C,Road,medium,1611,295,6,0
F,Flight,low,1657,238,2,0
D,Flight,medium,1303,270,7,1
F,Flight,low,1119,267,6,1
A,Flight,medium,1280,270,9,1
B,Flight,medium,1923,245,8,0
C,Flight,low,1068,262,10,1
F,Flight,low,1122,245,8,1
D,Flight,low,1943,268,7,0
F,Flight,low,1488,262,1,1
A,Flight,medium,1483,283,10,0
B,Flight,medium,1001,260,8,0
C,Flight,low,1677,258,4,1
F,Flight,medium,1877,130,1,0
D,Flight,low,1053,262,9,0
F,Flight,low,1764,293,4,1
A,Flight,medium,1238,255,10,1
B,Flight,low,1555,242,5,0
C,Flight,medium,1622,264,6,1
F,Flight,low,1485,253,7,0
D,Flight,low,1667,271,4,0
F,Flight,medium,1777,250,3,1
A,Flight,high,1590,266,5,0
B,Ship,low,1594,286,4,0
C,Ship,low,1373,275,9,0
F,Ship,low,1392,295,4,0
D,Ship,medium,1341,269,8,0
F,Ship,low,1780,239,1,1
A,Ship,medium,1867,271,8,0
B,Ship,low,1529,165,6,1
C,Ship,medium,1614,302,5,0
F,Ship,low,1919,293,10,1
D,Ship,low,5524,202,3,1
F,Ship,medium,4246,185,7,0
A,Ship,medium,5942,210,8,0
B,Ship,medium,5924,186,8,0
C,Ship,low,5913,163,7,0
F,Ship,low,5964,168,5,0
D,Ship,low,4391,199,8,1
F,Ship,medium,4958,271,7,0
A,Ship,low,4796,164,4,0
B,Ship,medium,4696,231,3,0
C,Ship,low,4141,196,10,1
F,Ship,low,4949,218,2,0
D,Ship,low,4440,267,5,1
F,Ship,low,4440,163,5,0
A,Ship,medium,4887,224,5,0
B,Ship,medium,5107,156,10,1
C,Ship,low,4883,175,2,1
F,Ship,medium,5365,257,5,0
D,Ship,low,4509,259,3,0
F,Ship,low,5716,112,7,1
A,Ship,medium,5735,145,2,0
B,Ship,medium,4957,230,3,0
C,Ship,low,5016,188,6,0
F,Ship,medium,4512,132,3,0
D,Ship,high,5502,239,2,0
F,Ship,medium,4605,167,8,0
A,Ship,medium,4004,133,7,1
B,Ship,high,5080,270,9,1
C,Ship,medium,5364,229,7,1
F,Ship,high,4852,261,6,0
D,Ship,low,4774,192,9,0
F,Ship,low,4848,217,6,1
A,Ship,low,4908,246,6,0
B,Ship,medium,5321,208,8,0
C,Ship,low,5790,148,5,0
F,Ship,high,4902,132,8,1
D,Ship,low,5051,249,6,1
F,Ship,low,5468,225,9,1
A,Ship,medium,4607,279,3,0
B,Ship,low,4921,183,8,0
C,Ship,high,5238,215,6,0
F,Ship,high,4225,195,10,0
D,Ship,medium,4467,156,5,1
F,Ship,low,4106,160,8,0
A,Ship,medium,5297,153,10,0
B,Ship,high,4670,215,5,1
C,Ship,low,4556,163,7,0
F,Ship,medium,5198,195,8,0
D,Ship,low,4587,170,3,1
F,Ship,low,5937,133,5,0
A,Ship,medium,5981,171,5,1
B,Ship,medium,4764,186,7,0
C,Ship,high,5960,246,5,0
F,Ship,low,5427,170,7,1
D,Ship,low,5245,189,9,0
F,Ship,low,5767,216,8,1
A,Ship,low,5137,264,10,1
B,Ship,low,5320,268,3,1
C,Ship,medium,4577,225,10,1
F,Ship,high,5233,252,4,1
D,Ship,low,4586,204,8,1
F,Ship,medium,4450,193,1,0
A,Ship,low,5324,220,9,0
B,Ship,low,5192,271,7,1
C,Ship,medium,4104,227,6,1
F,Ship,medium,5941,206,7,1
D,Ship,medium,4644,142,3,0
F,Ship,medium,5210,236,2,0
A,Ship,medium,5395,275,10,1
B,Ship,medium,4629,144,2,1
C,Ship,medium,5168,194,3,1
F,Ship,low,4591,260,9,1
D,Ship,medium,4410,240,8,0
F,Ship,high,5739,136,2,0
A,Ship,medium,4687,132,1,0
B,Ship,medium,5121,266,7,0
C,Ship,high,4782,263,5,0
F,Ship,low,5807,270,9,1
D,Ship,low,4258,208,10,0
F,Ship,low,5520,206,1,0
A,Ship,low,5230,159,3,1
B,Ship,low,5913,162,4,1
C,Ship,medium,4417,177,4,0
F,Ship,low,4096,168,4,1
D,Road,medium,4914,267,4,1
F,Road,medium,5844,222,7,0
A,Road,low,4781,234,10,0
B,Road,low,5724,133,9,0
C,Road,low,4533,207,10,0
F,Road,low,4811,243,9,0
D,Road,low,4470,161,1,1
F,Road,medium,5302,193,6,0
A,Road,medium,5769,234,9,0
B,Road,medium,4138,185,7,1
C,Road,medium,4806,242,5,0
F,Road,high,4147,252,6,1
D,Road,low,5495,179,3,1
F,Road,high,5602,158,5,0
A,Road,low,4002,226,8,0
B,Road,medium,5962,269,2,0
C,Road,low,5685,148,7,0
F,Road,low,5704,159,3,0
D,Road,medium,5361,273,4,0
F,Road,medium,5306,233,5,0
A,Road,medium,4473,182,2,0
B,Road,medium,4023,153,5,1
C,Flight,medium,5683,210,5,0
F,Flight,medium,4558,241,6,0
D,Flight,low,5032,220,8,1
F,Flight,medium,4856,211,7,0
A,Flight,low,4088,151,1,0
B,Flight,medium,4775,267,9,1
C,Flight,medium,4808,250,4,1
F,Flight,low,5398,181,5,1
D,Flight,high,4339,197,4,1
F,Flight,medium,4647,172,5,0
A,Flight,low,5223,219,3,1
B,Flight,low,5717,189,7,0
C,Flight,low,4539,225,8,0
F,Flight,low,5833,269,8,1
D,Flight,medium,4199,157,7,1
F,Flight,low,5422,189,5,0
A,Flight,medium,4946,226,6,1
B,Flight,medium,4382,220,6,1
C,Flight,low,4875,275,4,0
F,Flight,medium,4310,171,5,1
D,Flight,low,5289,235,4,1
F,Flight,high,4887,201,7,1
A,Ship,low,5673,269,5,1
B,Ship,low,5579,182,4,0
C,Ship,low,4500,266,9,0
F,Ship,medium,5991,157,4,0
D,Ship,high,5476,258,1,0
F,Ship,low,5288,280,9,1
A,Ship,low,4106,154,7,1
B,Ship,low,4257,274,3,0
C,Ship,medium,4332,180,1,0
F,Ship,medium,4126,146,7,0
D,Ship,medium,5851,236,1,0
F,Ship,high,5296,133,10,0
A,Ship,high,4307,173,9,0
B,Ship,low,5556,210,9,0
C,Ship,medium,4991,238,1,1
F,Ship,low,5275,268,3,0
D,Ship,medium,5471,175,8,1
F,Ship,low,4539,280,8,1
A,Ship,low,4027,153,1,0
B,Ship,medium,4376,251,6,0
C,Ship,medium,4262,252,8,1
F,Ship,medium,5472,201,4,1
D,Ship,medium,5878,216,8,1
F,Ship,low,4073,126,3,1
A,Ship,low,4199,177,3,1
B,Ship,medium,5783,145,1,1
C,Ship,low,5371,258,10,1
F,Ship,medium,4251,273,6,1
D,Ship,low,4523,245,5,0
F,Ship,medium,4413,241,7,0
A,Ship,low,5345,208,6,1
B,Ship,low,1193,282,1,1
C,Ship,medium,1159,295,1,0
F,Ship,low,1113,255,9,0
D,Ship,low,1434,292,8,0
F,Ship,low,1130,244,1,1
A,Ship,low,1691,306,8,1
B,Ship,low,1966,258,5,1
C,Ship,low,1629,265,2,1
F,Ship,low,1667,227,6,0
D,Ship,low,1519,276,9,1
F,Ship,medium,1980,244,2,0
A,Ship,medium,1732,217,3,1
B,Ship,low,1368,211,3,0
C,Ship,low,1982,227,8,1
F,Ship,medium,1027,249,5,1
D,Ship,low,1073,269,6,0
F,Ship,medium,1716,278,4,0
A,Ship,medium,1013,282,4,0
B,Ship,medium,1790,300,2,1
C,Ship,medium,5384,146,4,0
F,Ship,medium,5466,236,5,0
D,Ship,high,5973,133,7,1
F,Ship,high,5284,173,8,1
A,Ship,low,4163,210,9,0
B,Ship,medium,4206,238,4,0
C,Ship,low,5647,268,5,0
F,Ship,medium,4771,175,10,1
D,Ship,low,5156,280,10,0
F,Ship,low,4492,153,1,0
A,Ship,medium,5232,251,8,0
B,Ship,medium,5769,252,2,0
C,Ship,medium,5146,201,9,0
F,Ship,medium,4092,216,1,1
D,Ship,low,4128,126,10,0
F,Ship,low,5037,177,6,1
A,Ship,medium,4836,145,2,0
B,Ship,low,4200,258,8,0
C,Ship,medium,4896,273,8,0
F,Ship,low,5835,245,2,1
D,Ship,medium,4741,241,6,0
F,Ship,low,4530,208,4,1
A,Ship,low,1434,282,1,0
B,Ship,medium,1963,295,5,1
C,Ship,low,1869,255,7,1
F,Ship,low,1565,292,2,0
D,Ship,low,1867,244,5,0
F,Ship,low,1372,306,10,1
A,Ship,low,1558,258,5,0
B,Ship,low,1753,265,9,1
C,Ship,low,1242,227,3,1
F,Ship,low,1022,276,9,1
D,Ship,medium,1179,244,1,1
F,Ship,medium,1974,217,9,0
A,Ship,low,1760,211,6,1
B,Ship,low,1804,227,2,1
C,Ship,medium,1727,249,2,1
F,Ship,medium,1503,302,7,1
D,Ship,low,1117,293,7,1
F,Ship,low,1716,232,4,1
A,Ship,low,1447,279,7,0
B,Ship,low,1038,251,8,0
C,Ship,low,1188,300,1,0
F,Road,low,1544,133,3,1
D,Road,low,1136,283,2,1
F,Road,low,1686,296,8,1
A,Road,medium,1397,261,8,1
B,Road,low,1747,286,3,1
C,Road,low,1657,298,1,0
F,Road,medium,1936,287,9,1
D,Road,medium,1322,251,9,1
F,Road,low,1418,231,10,0
A,Road,medium,1298,249,6,0
B,Road,low,1174,244,3,0
C,Road,medium,1688,264,6,0
F,Road,medium,1002,254,6,0
D,Road,low,1637,264,6,0
F,Road,low,1463,309,6,1
A,Road,low,1631,298,8,0
B,Road,medium,1867,265,8,0
C,Road,medium,1504,246,4,1
F,Road,low,1672,222,1,0
D,Road,low,1296,250,2,0
F,Road,medium,1301,240,5,0
A,Road,low,1176,246,10,0
B,Flight,medium,1052,293,7,0
C,Flight,medium,1977,253,1,0
F,Flight,medium,1819,258,7,0
D,Flight,low,1051,258,2,1
F,Flight,medium,1851,245,3,0
A,Flight,medium,1073,307,2,0
B,Flight,low,1958,301,3,0
C,Flight,low,1249,252,2,0
F,Flight,medium,1681,272,2,1
D,Flight,low,1630,221,2,1
F,Flight,low,1699,247,10,1
A,Flight,low,1930,260,3,1
B,Flight,medium,1077,251,4,0
C,Flight,medium,1917,227,9,0
F,Flight,low,1826,269,9,0
D,Flight,low,1683,161,10,0
F,Flight,low,1622,256,9,1
A,Flight,medium,1203,303,9,0
B,Flight,medium,1565,257,7,1
C,Flight,medium,1497,310,8,0
F,Flight,medium,1150,238,2,1
D,Flight,medium,4471,191,2,0
F,Ship,medium,4852,252,7,0
A,Ship,medium,4731,228,8,1
B,Ship,medium,4767,208,4,1
C,Ship,low,5168,176,1,0
F,Ship,low,4874,233,7,0
D,Ship,low,5235,104,2,0
F,Ship,low,5980,237,1,0
A,Ship,medium,5281,252,7,0
B,Ship,medium,5173,135,9,0
C,Ship,low,5111,137,8,1
F,Ship,medium,5129,228,1,1
D,Ship,medium,5783,236,1,1
F,Ship,medium,4537,239,8,0
A,Ship,low,4697,199,1,1
B,Ship,medium,4177,269,2,0
C,Ship,low,5875,226,5,0
F,Ship,low,5043,264,5,0
D,Ship,medium,4025,264,10,1
F,Ship,low,4437,186,2,1
A,Ship,high,4219,154,2,0
B,Ship,medium,5757,239,2,1
C,Ship,low,4449,139,7,1
F,Ship,medium,5885,138,8,1
D,Ship,medium,5106,286,4,0
F,Ship,low,4622,275,2,1
A,Ship,low,4008,195,2,1
B,Ship,high,5337,267,8,1
C,Ship,medium,5935,223,7,0
F,Ship,low,5520,198,6,0
D,Ship,low,4724,250,7,0
F,Ship,low,5761,237,8,0
A,Ship,medium,5873,193,4,0
B,Ship,medium,5804,216,9,0
C,Ship,medium,4567,253,2,0
F,Ship,low,4785,132,2,0
D,Ship,low,4018,140,3,0
F,Ship,low,4452,114,9,1
A,Ship,medium,5620,238,8,0
B,Ship,low,5932,210,9,0
C,Ship,medium,4363,272,4,1
F,Ship,medium,5594,184,9,0
D,Ship,low,4665,168,3,1
F,Ship,low,4718,231,7,0
A,Ship,medium,4057,143,5,0
B,Ship,medium,5735,182,9,0
C,Ship,low,4076,221,3,0
F,Ship,low,5714,225,8,1
D,Ship,high,4892,227,9,1
F,Ship,low,5154,266,5,0
A,Ship,high,4588,247,9,1
B,Ship,medium,5322,154,1,1
C,Ship,low,4131,179,3,0
F,Ship,medium,4034,249,9,1
D,Ship,low,4661,156,5,1
F,Ship,low,4620,206,6,1
A,Ship,medium,4173,245,5,0
B,Ship,low,4379,197,3,1
C,Ship,medium,5216,188,5,1
F,Ship,low,4263,237,2,1
D,Ship,medium,5892,174,2,0
F,Ship,low,4969,266,4,1
A,Ship,low,4611,151,7,0
B,Ship,medium,4967,271,9,1
C,Ship,low,4447,214,10,0
F,Ship,low,5442,261,1,0
D,Ship,high,5905,166,6,1
F,Ship,low,5294,269,8,1
A,Ship,medium,5995,167,5,1
B,Ship,medium,5249,200,5,0
C,Ship,low,4194,159,1,1
F,Ship,low,4977,197,1,0
D,Ship,high,4069,219,4,1
F,Ship,low,4486,239,10,0
A,Ship,medium,5375,146,8,0
B,Ship,low,4242,173,4,1
C,Ship,low,4894,220,6,1
F,Ship,medium,4317,185,5,1
D,Ship,medium,4996,170,5,1
F,Ship,high,5272,250,4,1
A,Ship,low,4079,145,7,1
B,Ship,high,5831,211,1,1
C,Ship,low,4274,249,1,0
F,Ship,medium,5516,237,8,0
D,Ship,medium,5478,144,8,0
F,Ship,low,4343,171,6,1
A,Ship,medium,4965,203,4,0
B,Ship,high,4042,137,1,0
C,Ship,medium,5427,212,3,1
F,Ship,high,4036,209,2,1
D,Ship,low,5336,223,7,1
F,Ship,medium,4150,164,7,0
A,Ship,high,5269,220,6,1
B,Ship,medium,5651,216,3,0
C,Road,medium,5988,215,7,1
F,Road,low,5659,146,4,0
D,Road,low,5225,168,10,1
F,Road,medium,5101,218,8,1
A,Road,medium,4919,143,2,0
B,Road,medium,5331,233,7,0
C,Road,low,4418,195,2,0
